Agent1,Agent2,Agent1_Score,Agent2_Score,Combined_Score
Random Agent,Random Agent,-50,38,-12
Random Agent,Always Split Agent,410,-30,380
Random Agent,Always Steal Agent,-404,-20,-424
Random Agent,Tit-for-Tat Agent,54,46,100
Random Agent,Rhythmic Agent,138,2,140
Random Agent,Probabilistic Agent,170,-14,156
Random Agent,Prediction Agent,-226,-74,-300
Random Agent,Grudge Agent,-370,-26,-396
Random Agent,ML Prediction Agent,-28,20,-8
Random Agent,Q-Learning Agent,84,36,120
Always Split Agent,Random Agent,-18,406,388
Always Split Agent,Always Split Agent,300,300,600
Always Split Agent,Always Steal Agent,-300,500,200
Always Split Agent,Tit-for-Tat Agent,300,300,600
Always Split Agent,Rhythmic Agent,102,366,468
Always Split Agent,Probabilistic Agent,126,358,484
Always Split Agent,Prediction Agent,300,300,600
Always Split Agent,Grudge Agent,300,300,600
Always Split Agent,ML Prediction Agent,-42,414,372
Always Split Agent,Q-Learning Agent,246,318,564
Always Steal Agent,Random Agent,140,-372,-232
Always Steal Agent,Always Split Agent,500,-300,200
Always Steal Agent,Always Steal Agent,-500,-500,-1000
Always Steal Agent,Tit-for-Tat Agent,-490,-498,-988
Always Steal Agent,Rhythmic Agent,170,-366,-196
Always Steal Agent,Probabilistic Agent,260,-348,-88
Always Steal Agent,Prediction Agent,-460,-492,-952
Always Steal Agent,Grudge Agent,-490,-498,-988
Always Steal Agent,ML Prediction Agent,40,-392,-352
Always Steal Agent,Q-Learning Agent,140,-372,-232
Tit-for-Tat Agent,Random Agent,-58,-50,-108
Tit-for-Tat Agent,Always Split Agent,300,300,600
Tit-for-Tat Agent,Always Steal Agent,-498,-490,-988
Tit-for-Tat Agent,Tit-for-Tat Agent,300,300,600
Tit-for-Tat Agent,Rhythmic Agent,168,168,336
Tit-for-Tat Agent,Probabilistic Agent,180,180,360
Tit-for-Tat Agent,Prediction Agent,300,300,600
Tit-for-Tat Agent,Grudge Agent,300,300,600
Tit-for-Tat Agent,ML Prediction Agent,-4,-4,-8
Tit-for-Tat Agent,Q-Learning Agent,152,152,304
Rhythmic Agent,Random Agent,14,134,148
Rhythmic Agent,Always Split Agent,366,102,468
Rhythmic Agent,Always Steal Agent,-366,170,-196
Rhythmic Agent,Tit-for-Tat Agent,168,168,336
Rhythmic Agent,Rhythmic Agent,168,168,336
Rhythmic Agent,Probabilistic Agent,154,114,268
Rhythmic Agent,Prediction Agent,56,40,96
Rhythmic Agent,Grudge Agent,-344,168,-176
Rhythmic Agent,ML Prediction Agent,-140,100,-40
Rhythmic Agent,Q-Learning Agent,296,104,400
Probabilistic Agent,Random Agent,54,254,308
Probabilistic Agent,Always Split Agent,362,114,476
Probabilistic Agent,Always Steal Agent,-346,270,-76
Probabilistic Agent,Tit-for-Tat Agent,172,172,344
Probabilistic Agent,Rhythmic Agent,110,182,292
Probabilistic Agent,Probabilistic Agent,134,206,340
Probabilistic Agent,Prediction Agent,288,128,416
Probabilistic Agent,Grudge Agent,-302,250,-52
Probabilistic Agent,ML Prediction Agent,-198,242,44
Probabilistic Agent,Q-Learning Agent,142,166,308
Prediction Agent,Random Agent,-2,-58,-60
Prediction Agent,Always Split Agent,300,300,600
Prediction Agent,Always Steal Agent,-492,-460,-952
Prediction Agent,Tit-for-Tat Agent,300,300,600
Prediction Agent,Rhythmic Agent,40,56,96
Prediction Agent,Probabilistic Agent,168,328,496
Prediction Agent,Prediction Agent,300,300,600
Prediction Agent,Grudge Agent,300,300,600
Prediction Agent,ML Prediction Agent,32,-16,16
Prediction Agent,Q-Learning Agent,228,324,552
Grudge Agent,Random Agent,-28,-396,-424
Grudge Agent,Always Split Agent,300,300,600
Grudge Agent,Always Steal Agent,-498,-490,-988
Grudge Agent,Tit-for-Tat Agent,300,300,600
Grudge Agent,Rhythmic Agent,168,-344,-176
Grudge Agent,Probabilistic Agent,218,-302,-84
Grudge Agent,Prediction Agent,300,300,600
Grudge Agent,Grudge Agent,300,300,600
Grudge Agent,ML Prediction Agent,52,-380,-328
Grudge Agent,Q-Learning Agent,136,-344,-208
ML Prediction Agent,Random Agent,-26,30,4
ML Prediction Agent,Always Split Agent,400,0,400
ML Prediction Agent,Always Steal Agent,-412,-60,-472
ML Prediction Agent,Tit-for-Tat Agent,-8,-8,-16
ML Prediction Agent,Rhythmic Agent,106,-142,-36
ML Prediction Agent,Probabilistic Agent,294,-210,84
ML Prediction Agent,Prediction Agent,-10,-98,-108
ML Prediction Agent,Grudge Agent,-398,-38,-436
ML Prediction Agent,ML Prediction Agent,-86,-94,-180
ML Prediction Agent,Q-Learning Agent,78,-42,36
Q-Learning Agent,Random Agent,-14,58,44
Q-Learning Agent,Always Split Agent,322,234,556
Q-Learning Agent,Always Steal Agent,-368,160,-208
Q-Learning Agent,Tit-for-Tat Agent,130,122,252
Q-Learning Agent,Rhythmic Agent,166,110,276
Q-Learning Agent,Probabilistic Agent,190,166,356
Q-Learning Agent,Prediction Agent,330,194,524
Q-Learning Agent,Grudge Agent,-360,152,-208
Q-Learning Agent,ML Prediction Agent,86,14,100
Q-Learning Agent,Q-Learning Agent,256,256,512
